24,14,,
0,13,Right,TFlag
1,13,Right,TIs
2,13,Right,TWin
0,12,Right,THaskell
1,12,Right,TIs
2,12,Right,TYou
2,8,Right,TRock
3,8,Right,TIs
4,8,Right,TPush
15,8,Right,TSkull
15,7,Right,TIs
15,6,Right,TDefeat
6,1,Right,CHaskell
6,3,Down,CRock
6,4,Down,CRock
6,5,Down,CRock
3,0,Down,CSkull
3,1,Down,CSkull
3,2,Down,CSkull
3,3,Down,CSkull
3,4,Down,CSkull
9,0,Down,CSkull
9,1,Down,CSkull
9,2,Down,CSkull
9,3,Down,CSkull
9,4,Down,CSkull
3,4,Down,CSkull
4,4,Down,CSkull
5,4,Down,CSkull
7,4,Down,CSkull
8,4,Down,CSkull
9,4,Down,CSkull
5,5,Down,CSkull
5,6,Down,CSkull
7,5,Down,CSkull
7,6,Down,CSkull
18,4,Right,CFlag
13,2,Down,CSkull
14,2,Down,CSkull
15,2,Down,CSkull
16,2,Down,CSkull
17,2,Down,CSkull
18,2,Down,CSkull
19,2,Down,CSkull
20,2,Down,CSkull
21,2,Down,CSkull
13,10,Down,CSkull
14,10,Down,CSkull
15,10,Down,CSkull
16,10,Down,CSkull
17,10,Down,CSkull
18,10,Down,CSkull
19,10,Down,CSkull
20,10,Down,CSkull
21,10,Down,CSkull
13,3,Down,CSkull
13,4,Down,CSkull
13,5,Down,CSkull
13,6,Down,CSkull
13,7,Down,CSkull
13,8,Down,CSkull
13,9,Down,CSkull
21,3,Down,CSkull
21,4,Down,CSkull
21,5,Down,CSkull
21,6,Down,CSkull
21,7,Down,CSkull
21,8,Down,CSkull
21,9,Down,CSkull
