33,18,,
11,0,Up,CLava
12,0,Up,CLava
12,1,Up,CLava
13,0,Up,CLava
13,1,Up,CLava
13,2,Up,CLava
14,0,Up,CLava
14,1,Up,CLava
14,2,Up,CLava
14,3,Up,CLava
14,4,Up,CLava
15,0,Up,CLava
15,1,Up,CLava
15,2,Up,CLava
15,3,Up,CLava
15,4,Up,CLava
15,5,Up,CLava
15,6,Up,CLava
16,0,Up,CLava
16,1,Up,CLava
16,2,Up,CLava
16,3,Up,CLava
16,4,Up,CLava
16,5,Up,CLava
16,6,Up,CLava
16,7,Up,CLava
16,8,Up,CLava
17,0,Up,CLava
17,1,Up,CLava
17,2,Up,CLava
17,3,Up,CLava
17,4,Up,CLava
17,5,Up,CLava
17,6,Up,CLava
17,7,Up,CLava
17,8,Up,CLava
17,9,Up,CLava
17,10,Up,CLava
17,11,Up,CLava
18,2,Up,CLava
18,3,Up,CLava
18,4,Up,CLava
18,5,Up,CLava
18,6,Up,CLava
18,7,Up,CLava
18,8,Up,CLava
18,9,Up,CLava
18,10,Up,CLava
18,11,Up,CLava
18,12,Up,CLava
18,13,Up,CLava
18,14,Up,CLava
19,4,Up,CLava
19,5,Up,CLava
19,6,Up,CLava
19,7,Up,CLava
19,8,Up,CLava
19,9,Up,CLava
19,10,Up,CLava
19,11,Up,CLava
19,12,Up,CLava
19,13,Up,CLava
19,14,Up,CLava
19,15,Up,CLava
19,16,Up,CLava
20,5,Up,CLava
20,6,Up,CLava
20,7,Up,CLava
20,8,Up,CLava
20,9,Up,CLava
20,10,Up,CLava
20,11,Up,CLava
20,12,Up,CLava
20,13,Up,CLava
20,14,Up,CLava
20,15,Up,CLava
20,16,Up,CLava
20,17,Up,CLava
21,7,Up,CLava
21,8,Up,CLava
21,9,Up,CLava
21,10,Up,CLava
21,11,Up,CLava
21,12,Up,CLava
21,13,Up,CLava
21,14,Up,CLava
21,15,Up,CLava
21,16,Up,CLava
21,17,Up,CLava
22,8,Up,CLava
22,9,Up,CLava
22,10,Up,CLava
22,11,Up,CLava
22,12,Up,CLava
22,13,Up,CLava
22,14,Up,CLava
22,15,Up,CLava
22,16,Up,CLava
22,17,Up,CLava
23,11,Up,CLava
23,12,Up,CLava
23,13,Up,CLava
23,14,Up,CLava
23,15,Up,CLava
23,16,Up,CLava
23,17,Up,CLava
24,14,Up,CLava
24,15,Up,CLava
24,16,Up,CLava
24,17,Up,CLava
25,16,Up,CLava
25,17,Up,CLava
26,17,Up,CLava
0,17,Right,TWall
1,17,Right,TIs
2,17,Right,TStop
8,14,Right,THaskell
9,14,Right,TIs
10,14,Right,TYou
7,10,Right,TRock
7,9,Right,TIs
7,8,Right,TPush
8,5,Right,THaskell
9,5,Right,TIs
10,5,Right,TMelt
8,3,Right,TLava
9,3,Right,TIs
10,3,Right,THot
12,7,Right,TLava
25,3,Right,TFlag
26,3,Right,TIs
27,3,Right,TWin
12,12,Right,CRock
14,16,Left,CHaskell
26,5,Right,CFlag
32,0,Right,CLava
32,1,Right,CLava
32,2,Right,CLava
31,0,Right,CLava
31,1,Right,CLava
30,0,Right,CLava
0,16,Right,CLava
0,15,Right,CLava
0,14,Right,CLava
1,16,Right,CLava
1,15,Right,CLava
2,16,Right,CLava
3,17,Right,CLava
3,16,Right,CLava
4,17,Right,CLava
7,2,Down,CWall
8,2,Down,CWall
9,2,Down,CWall
10,2,Down,CWall
11,2,Down,CWall
7,4,Down,CWall
8,4,Down,CWall
9,4,Down,CWall
10,4,Down,CWall
11,4,Down,CWall
7,3,Down,CWall
11,3,Down,CWall
11,5,Down,CWall
7,5,Down,CWall
6,10,Down,CWall
8,10,Down,CWall
6,11,Down,CWall
7,11,Down,CWall
8,11,Down,CWall
9,11,Down,CWall
10,11,Down,CWall
11,11,Down,CWall
12,11,Down,CWall
6,12,Down,CWall
6,13,Down,CWall
6,14,Down,CWall
6,15,Down,CWall
6,16,Down,CWall
6,17,Down,CWall
7,13,Down,CWall
11,13,Down,CWall
12,13,Down,CWall
12,15,Down,CWall
12,17,Down,CWall
12,14,Down,CWall
13,14,Down,CWall
14,14,Down,CWall
15,14,Down,CWall
16,14,Down,CWall
16,15,Down,CWall
16,16,Down,CWall
16,17,Down,CWall
